Sim. cycle     : 2
Eruption start : 2021-02-16 16:30:00
Eruption end   : 2021-02-16 22:30:00
Runtime  start : 2021-02-16 19:30:00
Runtime  end   : 2021-02-16 22:30:00

Meteo data : 36
Eruptive scenarios : 36
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 5906.0 |  1.671   |    1.495    |
| 5183.0 |  0.929   |    3.188    |
| 6214.0 |  1.769   |    1.654    |
| 6630.0 |   0.2    |    1.258    |
| 5228.0 |  -1.191  |    3.448    |
| 5658.0 |  -1.253  |    3.567    |
| 6015.0 |  -0.436  |    3.081    |
| 6087.0 |  -0.56   |    1.376    |
| 5329.0 |  -0.96   |    3.295    |
| 5527.0 |  -0.188  |    2.765    |
| 6806.0 |  -0.89   |     1.01    |
| 5802.0 |  0.431   |    1.747    |
| 5823.0 |  1.543   |    2.193    |
| 5757.0 |  -0.237  |    2.632    |
| 5999.0 |  -0.736  |    0.935    |
| 5610.0 |  0.768   |    2.569    |
| 5029.0 |  0.011   |     2.25    |
| 5426.0 |  -1.337  |    1.545    |
| 5721.0 |  -0.067  |    2.853    |
| 5872.0 |  0.638   |     0.84    |
| 5514.0 |  -1.461  |     1.11    |
| 5696.0 |  1.064   |    1.321    |
| 6058.0 |  -0.401  |    2.415    |
| 5952.0 |  -0.639  |    2.673    |
| 6375.0 |  1.905   |    2.006    |
| 6315.0 |   0.5    |    1.693    |
| 7366.0 |  1.287   |    3.244    |
| 6692.0 |  -1.086  |    2.296    |
| 6392.0 |   1.43   |    3.382    |
| 6444.0 |  0.725   |     2.09    |
| 6533.0 |  0.949   |    1.945    |
| 6266.0 |  1.215   |    1.189    |
| 6237.0 |  1.844   |    2.905    |
| 6107.0 |   0.08   |    1.825    |
| 6151.0 |  0.284   |    3.006    |
| 6579.0 |  1.348   |     2.47    |
+--------+----------+-------------+
* Plume height above sea level
