Sim. cycle     : 1
Eruption start : 2021-02-16 16:30:00
Eruption end   : 2021-02-16 18:30:00
Runtime  start : 2021-02-16 16:30:00
Runtime  end   : 2021-02-16 18:30:00

Meteo data : 36
Eruptive scenarios : 36
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6215.0 |  1.486   |    2.207    |
| 6397.0 |  -0.791  |    1.373    |
| 5838.0 |  -0.224  |    3.092    |
| 5576.0 |  -1.206  |    3.193    |
| 5447.0 |  -0.511  |    1.504    |
| 5918.0 |  1.855   |    1.314    |
| 6701.0 |  -0.324  |    2.192    |
| 6146.0 |  0.569   |    2.722    |
| 5992.0 |  -0.567  |     1.85    |
| 5211.0 |  -1.408  |    1.909    |
| 6284.0 |  1.039   |    2.517    |
| 5368.0 |  1.653   |    1.718    |
| 5860.0 |  -0.984  |    3.416    |
| 6490.0 |  0.913   |    1.002    |
| 5639.0 |  -0.011  |    1.787    |
| 5949.0 |  0.717   |     2.75    |
| 4844.0 |  0.244   |    2.905    |
| 6651.0 |   0.34   |    1.438    |
| 5730.0 |  0.471   |    0.857    |
| 6042.0 |  -1.09   |     2.42    |
| 6464.0 |  1.157   |    2.007    |
| 5783.0 |  -1.221  |    3.291    |
| 5469.0 |  -1.388  |    2.476    |
| 6084.0 |  -0.888  |    3.035    |
| 6216.0 |  -0.337  |     0.89    |
| 6838.0 |  1.406   |    2.303    |
| 5685.0 |  1.006   |    1.125    |
| 5149.0 |  1.254   |    3.515    |
| 6365.0 |  0.074   |    3.581    |
| 6118.0 |  0.352   |     2.12    |
| 6021.0 |  -0.646  |    2.889    |
| 6310.0 |  1.943   |    2.604    |
| 5540.0 |  1.711   |    1.583    |
| 6579.0 |  1.589   |    1.109    |
| 5796.0 |  -0.05   |     3.25    |
| 7018.0 |  0.811   |     1.23    |
+--------+----------+-------------+
* Plume height above sea level
