Sim. cycle     : 1001
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 08:50:00
Runtime  start : 2021-03-04 07:50:00
Runtime  end   : 2021-03-04 08:50:00

Meteo data : 50
Eruptive scenarios : 50
+--------+----------+-------------+
| H [m]* | MU [phi] | SIGMA [phi] |
+--------+----------+-------------+
| 6462.0 |  0.328   |    2.204    |
| 6269.0 |  1.221   |    3.449    |
| 7164.0 |  0.237   |    2.564    |
| 5928.0 |  -1.06   |     1.51    |
| 5645.0 |  -0.829  |     1.17    |
| 6594.0 |  0.592   |    1.882    |
| 5692.0 |   0.65   |    1.364    |
| 5657.0 |  1.863   |    3.152    |
| 5562.0 |  1.539   |    1.598    |
| 6374.0 |  1.604   |    2.802    |
| 5975.0 |  -0.456  |    2.184    |
| 5710.0 |  1.686   |    1.307    |
| 6728.0 |  0.413   |    2.036    |
| 5815.0 |  1.363   |    0.865    |
| 5466.0 |  -0.653  |    2.755    |
| 6066.0 |  0.096   |    1.669    |
| 6034.0 |  -0.01   |    1.802    |
| 5434.0 |  1.788   |    0.841    |
| 5883.0 |  -0.081  |    2.099    |
| 6298.0 |  -0.581  |    3.058    |
| 6799.0 |  -0.244  |    2.409    |
| 6450.0 |  0.812   |    3.014    |
| 5852.0 |  1.155   |    1.259    |
| 5131.0 |   1.5    |    2.523    |
| 6083.0 |  1.386   |    1.109    |
| 6243.0 |  0.483   |    2.973    |
| 5521.0 |  -1.129  |    1.556    |
| 6911.0 |  -1.289  |     3.56    |
| 6117.0 |  -0.99   |     3.22    |
| 5757.0 |  -0.367  |     1.75    |
| 6130.0 |  -0.788  |    0.946    |
| 6392.0 |  0.979   |    1.022    |
| 5908.0 |  1.292   |    1.813    |
| 6532.0 |   0.77   |    1.034    |
| 6209.0 |  0.164   |    2.832    |
| 5350.0 |  -0.167  |    2.316    |
| 5975.0 |  -1.299  |    2.593    |
| 6327.0 |  1.934   |     3.43    |
| 5781.0 |  -0.175  |    1.966    |
| 5601.0 |  0.916   |    2.684    |
| 5277.0 |  -0.885  |     3.12    |
| 6660.0 |  0.724   |    2.304    |
| 5370.0 |  1.025   |    1.213    |
| 6168.0 |  -1.205  |    3.317    |
| 6018.0 |  -0.662  |    2.917    |
| 6564.0 |  -1.433  |     2.45    |
| 5074.0 |  -1.419  |    3.359    |
| 5837.0 |  1.825   |    3.522    |
| 4784.0 |  0.304   |    2.006    |
| 6193.0 |  -0.428  |    1.461    |
+--------+----------+-------------+
* Plume height above sea level
