Sim. cycle     : 1004
Eruption start : 2021-03-04 02:30:00
Eruption end   : 2021-03-04 09:20:00
Runtime  start : 2021-03-04 08:20:00
Runtime  end   : 2021-03-04 09:20:00

Meteo data : 50
Eruptive scenarios : 50
+---------+----------+-------------+
|  H [m]* | MU [phi] | SIGMA [phi] |
+---------+----------+-------------+
| 12088.0 |  1.119   |    1.524    |
| 10212.0 |  -0.611  |    1.942    |
| 10764.0 |  -0.899  |    1.909    |
| 11708.0 |  -0.385  |    2.873    |
| 11023.0 |  -0.147  |    2.096    |
| 10835.0 |  -0.579  |    3.321    |
|  9751.0 |  0.466   |    2.424    |
| 10873.0 |  1.917   |    0.975    |
| 10726.0 |  -1.164  |    1.394    |
| 11041.0 |  0.142   |     2.53    |
| 12006.0 |  -0.49   |    3.046    |
| 11658.0 |  0.215   |    1.801    |
| 11192.0 |  -0.246  |     1.56    |
| 10797.0 |   0.78   |    2.538    |
| 10372.0 |   1.57   |     2.32    |
| 11267.0 |  -1.336  |    1.166    |
| 11793.0 |  1.627   |    1.995    |
| 11086.0 |   1.21   |    1.202    |
| 11055.0 |  1.046   |    1.665    |
| 10232.0 |  0.963   |    2.293    |
| 11489.0 |  1.957   |    1.625    |
| 10600.0 |  -0.986  |    2.808    |
| 11387.0 |  0.572   |    2.057    |
| 11445.0 |  1.447   |    1.313    |
| 11146.0 |  0.683   |    3.254    |
| 10443.0 |  -1.231  |    2.965    |
| 10979.0 |  0.908   |    2.596    |
| 10665.0 |  -0.199  |    1.032    |
|  9980.0 |  -1.483  |     1.83    |
| 10471.0 |  -0.765  |    1.468    |
| 11574.0 |  1.831   |    3.377    |
| 10700.0 |  1.301   |     1.12    |
| 11507.0 |  -1.39   |    2.428    |
| 11358.0 |  0.457   |    0.958    |
| 11158.0 |  1.735   |    2.735    |
| 10933.0 |  0.275   |    2.831    |
| 11608.0 |  -0.311  |    2.167    |
| 10560.0 |  -0.804  |    0.842    |
| 10769.0 |  -1.031  |    3.507    |
| 10955.0 |  -0.669  |    2.997    |
| 10913.0 |  0.842   |    3.133    |
| 11246.0 |  1.246   |    3.456    |
| 11228.0 |  1.713   |    0.899    |
| 10539.0 |  -1.099  |    2.233    |
| 11114.0 |  0.615   |     1.27    |
| 11342.0 |  0.321   |    2.677    |
| 11320.0 |  -0.077  |    3.577    |
| 10323.0 |  0.034   |    3.275    |
| 10849.0 |  1.382   |    1.743    |
| 10615.0 |  0.092   |    3.166    |
+---------+----------+-------------+
* Plume height above sea level
